Tweet,Date,Period
Stuck in Calamba for almost 3 hrs now 😭 but I am with you kapwa ko Pilipino 🌸 hashtagMakatiIsPink hashtagLeniKikoAllTheWay2022 hashtagIpana7oNa10ParaSaLahat hashtagHalalan2022,5/7/2022,PRE
Last day of campaigning FOR OUR COUNTRYS HOPE AND FUTURE Ending this years peoples rally being a part of the 780000 Filipinos from Makati 12 hashtagIpana7oNa10ParaSaLahat hashtagMakatiIsPink hashtagMitingDeAvanceLeniKiko hashtagHalalan2022 hashtagLeniKiko2022,5/7/2022,PRE
30 mins before 12 mn Lets Vote for our Country Lets Vote for what is right 🌸 hashtagMakatiIsPink hashtagPilipinasIsPink hashtagHalalan2022 hashtagLeniKikoMitingDeAvance hashtagLeniLiwanagSaDilim hashtagLeniKiko2022AllTheWay hashtagLeniKiko2022 hashtagHelloPagkainGoodbyeGutom hashtagGobyernongTapatAngatBuhayLahat,5/7/2022,PRE
LOOK As it starts to get dark in Iloilo City Ilonggo Kakampinks light their torches for the Kasanag Walk for LeniKiko hashtagHalalan2022 hashtagPHVote hashtagWeDecide,5/7/2022,PRE
LOOK 23 of 16 million voters abroad have cast their ballots as of May 5 STORY hashtagFlyingKetchup hashtagHalalan2022,5/7/2022,PRE
WATCH Hundreds of Ilonggo Kakampinks swarm the Iloilo City bike lanes for the Kasanag Walk for LeniKiko on the last day of the campaign period today May 7 2022 hashtagHalalan2022 hashtagPHVote hashtagWeDecide,5/7/2022,PRE
Lets not miss this election and choose the right leader The whole world is watching Ipapanalo Na10 to tulip 🌸 hashtagHalalan2022 hashtagIpanaloNa10ParaSaLahat hashtagLeniKikoAllTheWay hashtagLeniKiko2022,5/7/2022,PRE
There is a lot to hope for in this campaign there is a lot to fight for as well tumindig tayo 🌸 🌾 hashtagartph hashtaghalalan2022 hashtagPaperPirate hashtagdapatsileni hashtagnanaybating hashtagangatbuhaylahat hashtaglenikiko2022 hashtaglenirobredo hashtaglenikiko2022 hashtagipanalona10to hashtagletlenilead hashtagletlenilead2022 hashtagdapatsileni,5/7/2022,PRE
Kaya pa ba ng ating Energy ⚡ For our environment health and economy we need to shift to cleaner energy sources sooner rather than later Is this clear to our hashtagHalalan2022 presidential candidates,5/7/2022,PRE
The power is our people hashtagletlenilead hashtaghalalan2022,5/7/2022,PRE
LOOK Willie Revillame performs in UniTeam miting de avance hashtagHalalan2022,5/7/2022,PRE
Philippines Publicus Asia poll Presidential Election Marcos PFP Centreright 57 3 Robredo Ind Liberal 23 1 Domagoso AD Centreleft 9 1 vs 30 Mar 6 Apr 2022 Fieldwork 25 May 2022 Sample size 1500 hashtagHalalan2022,5/7/2022,PRE
ELECTION SILENCE WILL BE EFFECTIVE IN 20 MINUTES YALL Philippines hashtagPHVote hashtagHalalan2022 hashtagTheFilipinoVotes,5/7/2022,PRE
Christian Bautista is also present in the event serenading the attendees postmiting de avance hashtagHalalan2022,5/7/2022,PRE
LOOK Kakampinks also used their placards to represent several groups that are for the RobredoPangilinan tandem hashtagHalalan2022 via,5/7/2022,PRE
For the first time KathNiel joins LeniKiko rally hashtagHalalan2022,5/7/2022,PRE
Grand finale of hashtagLeniRobredo campaign in Makati Was not able to see the main stagedespite 2 hours of walking 😂 Never see this big crowd before Its bigger then Bersih 4 hashtagHalalan2022,5/7/2022,PRE
BenBen now takes the stage starting their set with Pagtingin one of their classics hashtagHalalan2022,5/7/2022,PRE
My final live report for in the campaign season Supporters of VP made a strong show of force on the last day of the campaign The 750000strong crowd capped the historic 3month campaign run hopefully translating to votes on hashtagHalalan2022,5/7/2022,PRE
Moonstar88 performs their own rendition of Rosas one of the songs for the LeniKiko campaign hashtagHalalan2022,5/7/2022,PRE
Must watch Philippine Center for Investigative Journalism short video about Marcos social mediadriven brand rehabilitation versus Lenis inspiring grassroots campaign hashtagHalalan2022 hashtagEleksyon2022 👉🏽,5/7/2022,PRE
WATCH The pink crowd goes wild as the host announces the crowd estimate 750000 hashtagHalalan2022,5/7/2022,PRE
hashtagHalalan2022 hashtagEleksyon2022 hashtagPHVote2022 Prepared by Yelena Castaares Ronan Colin Co and Kimberly Ng Follow Todays Carolinian on Instagram,5/7/2022,PRE
Candidates are rushing to woo voters in the hopes of punching in the numbers for hashtagHalalan2022 But more than just statistics voters have stories and aspirations for the nation READ Story and photos by JAnn Avila and Guinevere Latoza,5/7/2022,PRE
NatSit There are two days left before voting day for hashtagHalalan2022when each Filipino must choose a maximum of 12 candidates to support in their Senate bid Outlined below are the stances of some of the senatoriables on the countrys most critical issues,5/7/2022,PRE
WATCH Confetti shower fireworks display as miting de avance of Aksyon Demokratiko standard bearer Isko Moreno Domagoso his hashtagHalalan2022 slate in Moriones Tondo ends via,5/7/2022,PRE
As if about to enter the ring for a boxing bout Pacquiao capped his miting de avance speech by raising both his arms and eventually putting his right hand to his heart while being rained by confetti hashtagHalalan2022 via,5/7/2022,PRE
No campaigning tomorrow get your politics fix here Listen up the hashtagPhilippines election hashtagHalalan2022 thru the human rights lens co hashtagpodcast hashtagadvocate,5/7/2022,PRE
What can people expect from a Marcos Jr presidency hashtagHalalan2022,5/7/2022,PRE
Firehose of disinformation floods runup to election hashtagHalalan2022,5/7/2022,PRE
Temperature scanners signage and tents have been set up inside and outside Tenement Elementary School in Taguig It is the school with the most number of voters hashtagHalalan2022,5/7/2022,PRE
hashtagHalalan2022 the official SPU National Elections Zine is OUT NOW fire Read through each of the candidates stances on pressing matters Familiarize yourselves with a comprehensive overview of their backgrounds achievements and qualifications 🔎,5/7/2022,PRE
WOW 264K VIEWERS hashtagBringBackMarcos hashtagBBMSaraUNITEAM hashtagHalalan2022 hashtagMarcosDuterte2022 7️⃣ BBM is hashtag7BongbongMarcos 4️⃣ Mayor Inday is hashtag4SaraDuterte ❤️ Philippines 💚 WATCH IT HERE GUYS LETS WIN THIS,5/7/2022,PRE
please take time to read this hashtagElections2022 hashtagPHElections2022 hashtagHalalan2022,5/7/2022,PRE
In Jesus name Amen VP photo not mine Ctto hashtagHalalan2022,5/7/2022,PRE
To our future president Please give attention to our arts entertainment We have lots of internationally recognized PPOP idol groups that can rake in revenue for our tourism sector hashtagppoprise2022 hashtagHalalan2022,5/7/2022,PRE
WATCH Ilonggos chant Marcos magnanakaw never again as the crowd starts to arrive at the Iloilo Esplanade 3 The Kasanag Unity Walk for LeniKiko is the final event of the Iloilobased volunteer chapters for the RobredoPangilinan tandem before hashtagHalalan2022 hashtagPHVote,5/7/2022,PRE
Oh This is going to happen 🤭 people will be walking protesting if they win hashtagHalalan2022,5/7/2022,PRE
Sharing my list for hashtagHalalan2022 hashtagBBMSaraUNITEAM,5/7/2022,PRE
spot the difference 😂 😂 😂 hashtagpulaangpilipinas hashtaguniteam hashtagUniTeamBBMSara hashtagBringBackMarcos hashtagBBMSARA2022 hashtagHalalan2022,5/7/2022,PRE
At the postmiting de avance concert bands Moonstar88 Kamikazee perform a rearranged rock version of the Robredo campaign anthem Rosas which they jokingly dubbed Guns Rosas via hashtagHalalan2022,5/7/2022,PRE
The College of Arts and Sciences Student Council fully supports the following candidates for the upcoming 2022 National Elections this coming May 9 hashtagUPLBCASForLeniKiko hashtagHalalan2022 hashtagLeniKiko2022 hashtagIpanaloNa10ParaSaLahat hashtagKulayRosasAngBukas hashtagAngatBuhayLahat,5/7/2022,PRE
The government has the power to change our lives but we have the power to change the government Catriona Gray 7pm 7 May 2022 hashtagMakatiIsPink hashtagPilipinasIsPink hashtagIpana7oNa10ParaSaLahat hashtagHalalan2022 hashtagIbotoNa10Pilipinas,5/7/2022,PRE
Pink Sunday Feb 15 2022 Miting de Avance May 7 2022 It was an honor 💙 🤍 Good luck to us next week hashtagHalalan2022,5/7/2022,PRE
LOOK Participants at the RobredoPangilinan miting de avance in Makati sign their names write messages on a pink banner laid out on the sidewalk of Ayala Ave On it are painted the names LENI KIKO hashtagHalalan2022 via,5/7/2022,PRE
LOOK Kakampinks flash their placards with witty captions ahead of the RobredoPangilinan Miting de Avance at Makati hashtagHalalan2022 via,5/7/2022,PRE
I was asked by my Brother he will vote for Isko why BBM Simplest answer He is the only Presidential Candidate who never fails to hold and be proud of our flag Philippines in his every campaign It tells alot hashtagHalalan2022 hashtagBBMSaraUNITEAM,5/7/2022,PRE
I hope the 2530 315 for Ian 😂 ay hindi magfafade If we remain and consolidate our strength :flexed_biceps_mediumlight_skin_tone: maybe we can pave the way for an ideologybased and competitive political party 💙 ❤️ 💛 hashtagParaSaLahat Philippines hashtagHalalan2022,5/7/2022,PRE
It is our duty to choose candidates that can foster scientific and technological progress while protecting our environment Vote responsibly this Read the whole statement hashtagBotongScienceClub hashtagFortheFilipinoYouth hashtagHalalan2022,5/7/2022,PRE
The last man standing is a woman and the last man standing is a farmer Kiko Pangilinan Bruh this gave me chills 😭 ipanalo na naten to please lang hashtagMakatiIsPink hashtagPilipinasIsPink hashtagHalalan2022 hashtagIpana7oNa10ParaSaLahat,5/7/2022,PRE
Confetti in the sky 🌌 s final presidential campaign rally is full of confetti an allusion to confetti rallies that started on Ayala Avenue in Makati Manila and led to protests that ousted the late President Ferdinand Marcos in 1986 hashtagPHVote hashtagWeDecide hashtagHalalan2022,5/7/2022,PRE
Its the last day for campaigning in the Philippines and four top presidential candidates are holding their biggest rallies today in Metro Manila Heres what you need to know before Mondays election hashtagHalalan2022,5/7/2022,PRE
Ive used many of their videos in my own Comm and Media Studies syllabi So this was especially cool to be part of TOP media analysis program for their short doc on the hashtagPhilippines elections hashtagHalalan2022 hashtagEleksyon2022 hashtagphvote 👉🏽,5/7/2022,PRE
But the struggle doesnt end here Our next leaders must adopt the findings and stand for hashtagClimateJusticeNow On hashtagHalalan2022 vote for climate justice Vote for our future,5/7/2022,PRE
Latest Social Engagement Scores show VP Leni pulling away from BBM hashtagPHVote2022 hashtagHalalan2022 hashtagVotePH hashtagOurVoteOurFuture hashtagWeDecide hashtagBilangPilipino2022,5/7/2022,PRE
Okay lang hashtaghobbiesparktoyshop hashtagbbm hashtagleni hashtaghalalan2022,5/7/2022,PRE
One of the many reason why I will never vote BBM because of his Trolls farm hashtagHalalan2022,5/7/2022,PRE
If hashtagBBM and hashtagSara win the hashtagINC can share credit for the victory And it will also show hashtagCatholic priests hashtagbishops and nuns do not have what it takes to beat back to life two dead horses hashtagHalalan2022 hashtagBilangPilipino hashtagEleksyon2022 hashtagPhilippines,5/4/2022,PRE
The hottest items for sale after the elections will be red hashtagBBM tshirts and airline tickets hashtagHalalan2022 hashtagBilangPilipino2022 hashtagEleksyon2022,5/5/2022,PRE
Alam nyo yung labandera namin BBM noon Tapos you know who convinced her to switch to Leni Her son Na minor at hindi pa makaka boto ♥️ Loren Legarda cant relate hashtagLabanLeni2022 hashtagLetLeniLead hashtagHalalan2022,5/5/2022,PRE
56 Survey rating means there is 1 BBM supporter for every 2 people you meet Wow hashtagHalalan2022 hashtagVotePH,5/3/2022,PRE
I am sorry I wanna be respectful but you are an OFW are you sure about BBM It is also confusing that you went from Leni BBM hashtagHALALAN2022,5/5/2022,PRE
also what platforms does he have for OFW 😭 ALSO its ironic that you are a swiftie too I am assuming you are given with the profile pic you have,5/6/2022,PRE
On of the difference between VP Leni and bbm bbm is a politician while VP leni is a public servant hashtagHalalan2022 hashtagLabanLeni hashtagLetLeniLead2022 hashtagLeniKiko2022,5/5/2022,PRE
BBM and Sara for the Philippines on May 9 2022 hashtagHalalan2022,5/7/2022,PRE
That is why I choose him as my President Cant the others see how well mannered he is hashtagHalalan2022 has become a catalyst for some to hope for the brighter future after BBM declared his candidacy BBM supporters on the other hand knows the definition of RESPECT hashtagBBMSaraUNITEAM,5/2/2022,PRE
Good governance starts with our generation Laban Millenials at Gen Z hashtagHalalan2022 hashtagIpana7oNa10ParaSaLahat hashtagLeniKikoAllTheWay2022 hashtagBBM hashtagISKO hashtagPING hashtagPACQUIAO,5/6/2022,PRE
hashtagHALALAN2022 whyket always from website ni bbm ang sources,5/5/2022,PRE
hashtagBBM is probably the most watched monitored scrutinized and hounded candidate ever to run for any position on earth BBMs campaign is not run on stolen funds It is fueled by reality the practical minds who get it when they see it hashtagHalalan2022 hashtagPhilippines,5/4/2022,PRE
Whosoever wins on May 9 may it be KLDG Leni Isko or I hate to say it BBM shall be treated as a public servant of the Filipino people Politics is a dangerous game most certainly in the hands of politicians like the Marcoses hashtagHalalan2022,5/4/2022,PRE
Haan nak Maka LENI Haan nak Maka BBM MAKAAS ASAWA AKON de joke lang 🤪 😂 Just a gentle reminder Dont ruin your friendship over politics ❤️ 💙 💗 🤍 💚 Lets continue to pray for our Nation Lets pray for our Government hashtagHalalan2022 hashtagVoteWisely,5/7/2022,PRE
UNITEAM we sir BBM are always attacked unprovoked But let us remind ourselves that theyre just one click away REPORT BLOCK Lets continue to pray for a peaceful honest hashtagHalalan2022 Mahalin natin ang Pilipinas Mabuhay tayong lahat Samasama tayong babangon muli,5/2/2022,PRE
I never imagined I will get to see and experience MARCOS leadership in my lifetime Great times ahead folks PRRD had set a very high standard of leadership and public service I hope that BBM match that or even surpass it hashtagBBMSaraUNITEAM hashtagBBMIsMyPresident2022 hashtagHalalan2022,5/5/2022,PRE
actually bbm visiting and helping tacloban after nung typhoon yolanda was actually on the news search up online articles regarding the help tacloban received from bbm and news articles will pop up hashtagHALALAN2022,5/5/2022,PRE
Ph peso purchasing power will become weaker next week if Pinoy electorates vote UNWISELY Some foreign employers warned of pulling out their BPO firms if bbm win 😢 May God guide us grant us this hashtagHalalan2022 TRIUMPH for the Phils the Fils come May 09 🙏 🙏 🙏,5/4/2022,PRE
Yet the Pulse Asia survey says that there are more educated voters voting for BBM but look it doesnt seem like that on the ground hashtaghalalan2022 hashtagPulseAsia,5/4/2022,PRE
Id really love to hear from BBM and Sara but they did not show up hashtagHalalan2022,5/5/2022,PRE
hashtagHALALAN2022 and smni covers the interview of bbm with the people hindi pa ba bias yun mga beh,5/5/2022,PRE
nakakakilabot how bbm supporters and apologists treat these data as mere numbers statistics please remember that these numbers represent LIVES some were mothers fathers children human lives are not mere numbers hashtagNeverAgain hashtagHalalan2022,5/5/2022,PRE
let someone speak their minds ang ironic lang din na some kakampinks are shutting off bbm supporters tapos ipinaglalaban ang freedom of expression hAy hashtagHALALAN2022,5/5/2022,PRE
Same with the other candidates Ganda ng Mindset niyaSame with me Bbm is my bet because I only think hes the most presidentiable of all candidatesbut it doesnt mean Im gonna dedicate my life defending him lol hashtagEleksyon2022 hashtagHalalan2022 hashtagMythoughts,5/5/2022,PRE
LENI and BBMs major accomplishments and statement of assets liabilities and net worth Hindi ka ba mapapaisip kung bakit ganun kalaki ang net worth no BBM look at the major accomplishments din This is from an unbiased website hashtagHalalan2022,5/3/2022,PRE
I will be fine with a BBM presidency as long as for six years all taxes will be removed Game 😂 hashtagBOBOtoKA hashtagHalalan2022 hashtagLeniForPresident2022 hashtagLeniKikoAllTheWay2022,5/1/2022,PRE
what is this girl talking about bbm had all the time in the world to prepare for shit so you argumenting that ppl his reputation was ruined because of the 2016 debates is so funny public servant siya so dapat alam niya of all ppl he had it coming so stfu hashtagHALALAN2022,5/5/2022,PRE
invite more bbm supporter so that we will have more discussions hashtagHALALAN2022,5/5/2022,PRE
The Last piece of the puzzle INC endorses hashtag7 BBM hashtag4 inday Sara hashtagHalalan2022 hashtagBBMIsMyPresident2022 hashtagBBMSARA2022,5/3/2022,PRE
may platform nga si bbm ive seen them however debates are his chance to tell those platforms to us yung manggagaling sa bibig niya mismo hashtagHALALAN2022,5/5/2022,PRE
Keep our conversations decent and respectful Our words are powerful it can build or destroy a person 🌸 hashtagHalalan2022 hashtagphilippines hashtageleksyon2022 hashtagLetLeniLead hashtagbbm hashtagisko hashtagmannypacquiao,5/7/2022,PRE
A lot of my friends said that their 1st choice is Ping but will not be voting for him Some of them will vote for BBM to lessen Lenis chance of winning and some will vote for Leni coz she have a better chance of defeating BBM hashtagHalalan2022 hashtagWastedVotes hashtagTrueStory,5/5/2022,PRE
Political analyst Edmund Tayao says the only reason BBMs chances of winning will change if a black swan happens Read more hashtagPartidoFederalngPilipinas hashtagUniTeamBBMSara hashtagHalalan2022,5/4/2022,PRE
BBM survey numbers is a validationthat the country has had enough of cheap politicking by Mrs Robredo no matter you sugarcoat it with motherhood statements Unless God has other plans it should be all over but the counting Umagang Kayganda hashtagBBMSaraUNITEAM hashtagHalalan2022,5/2/2022,PRE
If you encountered a FAKE News manaliksik ka sa mga tamang avenue Hindi lang sa tiktok university If student ka ngayon read books google it Dont go to sliced videos God created you a thinking being for a reason Dont waste it hashtagHalalan2022 hashtagLeniForPresident2022 hashtagBBM,5/2/2022,PRE
I dont know if Ill be able to convince BBM supporters with this Ive been listening to twt spaces thats been floating around and war always comes up Heres some food for thought hashtagHalalan2022 hashtagIpanaloNa10ToParaSaLahat hashtagBBMSaraUNITEAM,5/6/2022,PRE
this is and will be BBMs hell any Marcos last chance of ever winning an election on a national level he knows this thats why he ran for the highest spot when he could thats why he played all his cards and called in his favors hashtagHalalan2022,5/3/2022,PRE
Currently reading mindfck The story of how CA Cambridge Analytica started the use of Psychological weapon with the data from FB to turn people with dark triad traits to act on CAs will Dika immune if you do not know this tacticts hashtagHalalan2022 hashtagILOILOisPink hashtagLeniKiko hashtagBBM,5/3/2022,PRE
thread on Taiwan hashtagHalalan2022 Im sorry for failing yall hashtagKakampinks back home Marcos has won will win in Taiwan by a massive margin We dont have enough resources time money people to combat BBMs huge machinery in factories migrant orgs communities confirmed by insiders,5/2/2022,PRE
LOOK Another placard prepared by a supporter here at Iskos miting de avance reads BBM Buong Bansa Moreno hashtagHalalan2022,5/7/2022,PRE
hello po i just want to ask po sana BBM supporters on what made them choose their candidate Kasi for example my parents argument was because shes an ILOCANO so bakit pa raw boboto ng iba Thank you po hashtagHALALAN2022,5/5/2022,PRE
Just talked to my roommate who works in the BPO Industry as HR The rumors are true there are talks about investors pulling out if BBM becomes president There are thousands of them working there Its not only them that will suffer but the whole economy 📉 hashtagHalalan2022,5/4/2022,PRE
i ask my relatives na bbm and they said why the dont like leni bcs leni is a puppet daw ng mga dilawan hashtagHALALAN2022,5/5/2022,PRE
please let me speak i have something to share base on my interviews sa mga kakilala kong bbm supporters hashtagHALALAN2022,5/5/2022,PRE
If youre still undecided or want a checklist of who to vote for this May 9 I hope this helps you hashtagBBM hashtagLeniRobredo hashtagPingLacson hashtagIskoMoreno hashtagHalalan2022 hashtagElections2022,5/7/2022,PRE
In the 1965 1969 1981 Presidential Elections the INC endorsed then the late Former President Ferdinand Marcos it was recorded as the highest pres result in terms of hashtag of voters So it doesnt come as a shock if they are now endorsing hashtagBBM hashtagFact hashtagHalalan2022,5/3/2022,PRE
smni is biased and yung may ari has openly endorsed bbm even a few of the panels have openly endorsed him din i watched the debate including the senatorials kasi i genuinely want to know other candidates talaga as a first time voter hashtagHALALAN2022,5/5/2022,PRE
It looks like the fight will be between evil vs more evil The losers are the more evil ones as deemed by the majority of voters Who will win hashtagEleksyon2022 hashtageleksiyon2022 hashtagHalalan2022 hashtagHalalan hashtagBBM hashtagLeniRobredo,5/7/2022,PRE
Google Trends suggests a win for whereas Pulse Asia expects a BBM win This hashtagHalalan2022 is a test for Google Trends but its a lifeanddeath for Pulse Asias forprofit business Lenis victory will spell doom for traditional politicians and traditional surveys,5/2/2022,PRE
An Isko Moreno supporter here at the miting de avance in Moriones Tondo brought two placards to show his support for the presidential candidate One reads LENI Lahat Eto Na Isko while the other BBM Buong Bansa Moreno hashtagHalalan2022,5/7/2022,PRE
If you want to be proud of yourself then do things in which you can take pride Karen Horney Proud supporter of BBM SARA here ♥️ ✌🏻 💚 👊🏻 hashtagbbmforpresident2022 hashtagsaradutertevicepresident2022 hashtaghalalan2022 hashtaguniteambbmsara2022,5/7/2022,PRE
A PNoy supporter asking what his admins inefficiencies are then is like a BBM supporter asking what his fathers crimes were during the Martial Law 🙄 hashtagHalalan2022 hashtagEleksyon2022,5/6/2022,PRE
genuine question if the government wasnt able to offer help during the yolanda why would you vote for bbm who was a senator that time hashtagHALALAN2022,5/5/2022,PRE
Presidential and vicepresidential inspired NFT mushroom VOTE WISELY Minted on Polygon 11 nongenerative handdrawn art 💓 hashtagNFT hashtagNFTMarketPH hashtagLeniKiko hashtagBBMSaraUNITEAM hashtagLeni hashtagBBM hashtagIskoMoreno hashtagpinglacson hashtagpixel hashtagHalalan2022 hashtagUniteam hashtagKulayRosasAngBukas,5/7/2022,PRE
Philippines should actually postpone the elections for 1 year BBM supporters are getting the best treatment they will receive before they are dumped after they cast their votes hashtagKawawa hashtagUsed hashtagASEAN hashtagHalalan2022 hashtagBatangasIsPink,5/1/2022,PRE
Another what you see is what you get candidate Just like BBM hashtagHalalan2022,5/4/2022,PRE
short kakampink story 🌸 🌾 hashtagKulayRosasAngBukas hashtagLeniRobredo hashtagHalalan2022 1 I was buying hopia from a vendor samin then my neighbor was talking about politics tas i heard them saying feel ko naman mananalo si bBm,5/6/2022,PRE
More than BBM winning its his rude boisterous fake newspeddling supporters who will dominate the society And just the thought of it makes me cringe to death hashtagHalalan2022 hashtagLeniRobredo2022 hashtagLeniKiko2022,5/6/2022,PRE
Top story Just remember that Miriam Santiago trusted BBMs leadership and integrity Dont tell me that you have a better judgement of character than THE GREAT MIRIAM SANTIAGO hashtagHalalan2022 see more stnp,5/4/2022,PRE
Maybe some of you are asking Why BBM Here are some hashtagHalalan2022 hashtagBBMSARA2022 hashtagBBMIsMyPresident2022 hashtagBBMSaraUNITEAM,5/3/2022,PRE
If BBM will win hopefully they will make a documentary about it just like The Kingmaker Focusing on how massive disinformation propaganda and electoral fraud successfully prevails and ultimately win an election hashtagLeniKiko2022 hashtagHalalan2022,5/5/2022,PRE
DIBA Thats why I still dont get it while people will vote for him Lord bless and guide those peoples mind and hearts hashtagHalalan2022 hashtagEleksyon2022 hashtagBBM hashtagMarcosMagnanakaw hashtagMarcosSinungaling hashtagMarcosDuwag hashtagMarcosNOTaHero,5/1/2022,PRE
Is it just me But why does some or mostly I guessbbm supporters needs to ask why takot tayo sa martial law hindi ba sila aware sa injustices and inhumane activities happened during that time hashtagHALALAN2022,5/5/2022,PRE
I just want to ask po if what are your opinions abt bbm supporters saying that their family didnt steal anything while some naman admitting it then theyre saying that they steal for us Filipinos din naman hashtagHALALAN2022,5/5/2022,PRE
BBM is not a tiger and he will never be one A tiger has a personality of being brave manly optimistic energetic and trustworthy which he clearly doesnt have any of these hashtagHALALAN2022,5/5/2022,PRE
Pormal nang inendorso ng grupo ng mga obispo pari at diyakono mula sa Simbahang Katoliko ang tambalang Leni Robredo at Kiko Pangilinan para sa hashtagHalalan2022 Samantala nakuha naman ng Bongbong MarcosSara Duterte tandem ang suporta ng Iglesia Ni Cristo,5/4/2022,PRE
JUST IN Religious group Iglesia ni Cristo officially endorses to its members the candidacies of Ferdinand Bongbong Marcos Jr Sara DuterteCarpio INCrun Net25 reports Marcos Jr received INCs bloc vote as VP in 2016 but lost to Leni Robredo hashtagHalalan2022,5/3/2022,PRE
Some members of Iglesia ni Cristo Church of Christ publicly voiced their vote for Vice President Leni Robredo after the church known for block voting endorsed the Bongbong Marcos Sara Duterte tandem The move that could boot them out of the church hashtagEleksyon2022 hashtagHalalan2022,5/4/2022,PRE
Former Senator Bongbong Marcos retained his lead against VP Leni in the final Publicus Asia survey for this election period 5422 Meanwhile in the VP race Mayor Sara Duterte had the same fate she currently leads Senator Kiko Pangilinan by 43 points 5916 hashtagHalalan2022,5/6/2022,PRE
Ang final prediction ko for hashtagHalalan2022 ay si LENI ROBREDO at SARA DUTERTE Pero please bilang kakampink ipanalo natin si Sen KIKO PANGILINAN hashtagLeniKiko2022 hashtagNoToRoSa,5/4/2022,PRE
VP LENI next na uupuan mo hindi na bangka sa Malacaang na 💪 💪 💗 hashtagLENIROBREDO hashtagleni hashtaglenirobredo hashtagLeniKikoAllTheWay hashtagleniangatsalahat hashtagleni hashtaglenikiko22 hashtaglenikiko hashtaglenirobredo2022 hashtagVotePH hashtagvotevotevote hashtaghalalan2022 hashtagangatbuhaylahat hashtagpilipinas hashtagphilippines,5/1/2022,PRE
Mindanao for LeniKiko Ang Presidente Leni Robredo Bise Presidente Kiko Pangilinan hashtagAgusanIsPink hashtagAgusanParaKayLeniKiko hashtagLeniKiko2022 hashtagLeniKikoAllTheWay hashtagdonbelle Magwawagi ang katotohanan hashtaghalalan2022 May 9,5/5/2022,PRE
sa bawat Leni sa balota dapat may Kiko na kasama 💗 hashtagLeniKiko hashtagHalalan2022,5/5/2022,PRE
Another day of converting my friend to vote for Leni hashtagIpanaloNa10ParaSaLahat hashtagLeniKikoAllTheWay2022 hashtagLetLeniKikoLead 💖 💚 🍃 💓 🌸 💯 PARA SA PILIPINAS Philippines Dont force them to vote for hashtagLeniKiko EDUCATE them :flexed_biceps_mediumlight_skin_tone: tulip 🌾 hashtagHalalan2022,5/4/2022,PRE
Malapit na ang May 9 let us all pray for clean peaceful elections and for hashtaglenikiko to win with all od hashtagTropangAngat senators hashtagHalalan2022 hashtagGobyernongTapatAngatBuhayLahat Presidente Leni Robredo Bise Presidente Kiko Pangilinan,5/2/2022,PRE
Happy Mothers day PRESIDENT LENI 💗 double celebration tayo mga mumsh para sa magiging nanay natin lahat simula May 9 hashtagHalalan2022 SIGURADO NA SA LENIKIKO Angat Buhay Pilipino Philippines hashtagLeniKikoAllTheWay2022 hashtagKulayRosasNaBukas hashtagIpanaloNa10ToParaSaLahat hashtagILOILOisPink hashtagCebuIsPink,5/3/2022,PRE
Kiko has to win alongside Leni 💗 Philippines tulip hashtagHalalan2022 hashtagLeniKiko,5/1/2022,PRE
