Tweets,Date,Username,Number of Retweets,Number of Likes
Let's not miss this election and choose the right leader. The whole world is watching. Ipapanalo Na10 'to. 🌷🌸 #Halalan2022 #IpanaloNa10ParaSaLahat #LeniKikoAllTheWay #LeniKiko2022,5/7/2022,dubchiii,3,5
"There is a lot to hope for in this campaign, there is a lot to fight for as well; tumindig tayo 🌸🌾 

#artph #halalan2022  #PaperPirate #dapatsileni #nanaybating #angatbuhaylahat #lenikiko2022 #lenirobredo #lenikiko2022 #ipanalona10to #letlenilead #letlenilead2022 #dapatsileni",5/7/2022,marycruzing,2,7
"Kaya pa ba ng ating Energy? ⚡️

For our environment, health, and economy, we need to shift to cleaner energy sources sooner rather than later. Is this clear to our #Halalan2022 presidential candidates? ",5/7/2022,wavefarers,2,3
The power is our people. #letlenilead #halalan2022,5/7/2022,paoloherras,0,19
LOOK: Willie Revillame performs in UniTeam miting de avance #Halalan2022,5/7/2022,ABSCBNNews,7,62
"Philippines, Publicus Asia poll:

Presidential Election 

Marcos (PFP, Centre-right): 57% (-3)
Robredo (Ind., Liberal): 23% (-1)
Domagoso (AD, Centre-left): 9% (-1)
…

+/- vs. 30 Mar - 6 Apr 2022

Fieldwork: 2-5 May 2022
Sample size: 1,500

http://asiaelects.com/Philippines
#Halalan2022",5/7/2022,AsiaElects,4,26
"ELECTION SILENCE WILL BE EFFECTIVE IN 20 MINUTES Y'ALL! 🇵🇭

#PHVote  #Halalan2022  #TheFilipinoVotes",5/7/2022,keepatbae,1,8
"Christian Bautista is also present in the event serenading the attendees post-miting de avance. #Halalan2022 | 
@ABSCBNNews",5/7/2022,josiahvantonio,47,490
"LOOK: “Kakampinks” also used their placards to represent several “groups” that are for the Robredo-Pangilinan tandem. #Halalan2022 | via 
@KevAlabaso",5/7/2022,ABSCBNNews,37,342
For the first time: KathNiel joins Leni-Kiko rally #Halalan2022,5/7/2022,ABSCBN_Showbiz,186,599
"Grand finale of #LeniRobredo campaign in Makati. Was not able to see the main stage(despite 2 hours of walking😂). 

Never see this big crowd before. It’s bigger then Bersih 4. 

#Halalan2022",5/7/2022,mandeepkarpall,4,9
"Ben&Ben now takes the stage starting their set with ""Pagtingin,"" one of their classics. #Halalan2022 | 
@ABSCBNNews",5/7/2022,josiahvantonio,21,319
"My final live report for 
@TVPatrol
 in the campaign season:

Supporters of VP 
@lenirobredo
 made a strong show of force on the last day of the campaign.

The 750,000-strong crowd capped the historic 3-month campaign run, hopefully translating to votes on #Halalan2022.

@ABSCBNNews",5/7/2022,JervisManahan,46,299
"Moonstar88 performs their own rendition of ""Rosas,"" one of the songs for the Leni-Kiko campaign. #Halalan2022 | 
@ABSCBNNews",5/7/2022,josiahvantonio,15,310
"Must watch Philippine Center for Investigative Journalism 
@PCIJdotOrg
 short video about Marcos’ social media-driven brand rehabilitation versus Leni’s inspiring grassroots campaign #Halalan2022 #Eleksyon2022
👉🏽 https://m.youtube.com/watch?v=anBF1_BCyyo",5/7/2022,jonathan_c_ong,6,21
"WATCH: The pink crowd goes wild as the host announces the crowd estimate: 750,000. #Halalan2022",5/7/2022,anthesguerra,3,31
"#Halalan2022
#Eleksyon2022
#PHVote2022 

—
Prepared by Yelena Castañares, Ronan Colin Co, and Kimberly Ng

Follow Today’s Carolinian on Instagram 
@todaysusc",5/7/2022,todaysusc,6,6
"Candidates are rushing to woo voters in the hopes of punching in the numbers for #Halalan2022. But more than just statistics, voters have stories and aspirations for the nation.

READ: http://tinigngplaridel.net/2022/elex-on-ground/

Story and photos by J-Ann Avila and Guinevere Latoza",5/7/2022,tinigngplaridel,12,11
NatSit: There are two days left before voting day for #Halalan2022—when each Filipino must choose a maximum of 12 candidates to support in their Senate bid. Outlined below are the stances of some of the senatoriables on the country's most critical issues.,5/7/2022,TheLaSallian,25,33
"WATCH: Confetti shower, fireworks display as miting de avance of Aksyon Demokratiko standard bearer Isko Moreno Domagoso, his #Halalan2022 slate in Moriones, Tondo ends. | via 
@biancadava",5/7/2022,ABSCBNNews,6,62
"As if about to enter the ring for a boxing bout, Pacquiao capped his miting de avance speech by raising both his arms and eventually putting his right hand to his heart while being rained by confetti. #Halalan2022 | via 
@sherieanntorres",5/7/2022,ABSCBNNews,3,29
"No campaigning tomorrow, get your politics fix here! Listen up… the #Philippines election #Halalan2022 thru the human rights lens c/o 
@ASEANMP
 #podcast #advocate https://buzzsprout.com/1383070/10565115",5/7/2022,Vpedrosa,5,5
What can people expect from a Marcos Jr. presidency? #Halalan2022,5/7/2022,ANCALERTS,2,23
Firehose of disinformation floods run-up to election #Halalan2022,5/7/2022,ANCALERTS,2,12
"Temperature scanners, signage and tents have been set up inside and outside Tenement Elementary School in Taguig. It is the school with the most number of voters. #Halalan2022",5/7/2022,jekkipascual,5,19
"#Halalan2022, the official SPU National Elections Zine, is OUT NOW! 🔥

https://bit.ly/SPUHalalan2022 

Read through each of the candidates’ stances on pressing matters. Familiarize yourselves with a comprehensive overview of their backgrounds, achievements, and qualifications. 🔎",5/7/2022,TheBenildean,7,11
"WOW 264K VIEWERS! 

#BringBackMarcos #BBMSaraUNITEAM #Halalan2022 #MarcosDuterte2022 

7️⃣BBM is #7BongbongMarcos
4️⃣Mayor Inday is #4SaraDuterte.
❤🇵🇭💚
WATCH IT HERE GUYS! https://fb.watch/cSdMnX94WE/

LET'S WIN THIS!",5/7/2022,8potatoooo,6,12
"please take time to read this

#Elections2022 #PHElections2022 #Halalan2022",5/7/2022,azei_arts,6,9
"In Jesus name. Amen. VP 
@lenirobredo

*photo not mine. Ctto. #Halalan2022",5/7/2022,jeyseen2626,0,16
"To our future president:

Please give attention to our arts & entertainment. We have lots of internationally recognized PPOP idol groups that can rake in revenue for our tourism sector

#ppoprise2022 
#Halalan2022",5/7/2022,wEaVgAaNn,28,45
"WATCH: Ilonggos chant ""Marcos magnanakaw, never again"" as the crowd starts to arrive at the Iloilo Esplanade 3. 

The Kasanag Unity Walk for Leni-Kiko is the final event of the Iloilo-based volunteer chapters for the Robredo-Pangilinan tandem before #Halalan2022.
#PHVote 
@MovePH",5/7/2022,au_rielle,5,17
"Oh. This is going to happen. 🤭 people will be walking, protesting if they win #Halalan2022",5/7/2022,kg_0917,0,25
"Sharing my list for #Halalan2022 
#BBMSaraUNITEAM",5/7/2022,8potatoooo,4,13
spot the difference 😂😂😂 #pulaangpilipinas #uniteam #UniTeamBBMSara #BringBackMarcos #BBMSARA2022  #Halalan2022,5/7/2022,chinoichikawa,5,12
"At the post-miting de avance concert, bands Moonstar88 & Kamikazee perform a rearranged rock version of the Robredo campaign anthem “Rosas” which they jokingly dubbed “Guns & Rosas”. | via 
@anjo_bagaoisan
 #Halalan2022",5/7/2022,ABSCBNNews,60,429
"The College of Arts and Sciences Student Council fully supports the following candidates for the upcoming 2022 National Elections this coming May 9. 

#UPLBCASForLeniKiko
#Halalan2022
#LeniKiko2022
#IpanaloNa10ParaSaLahat
#KulayRosasAngBukas
#AngatBuhayLahat",5/7/2022,CASSC_UPLB,8,23
"""The government has the power to change our lives but we have the power to change the government""
-Catriona Gray 
@catrionaelisa
, 7pm 7 May 2022 

#MakatiIsPink #PilipinasIsPink #Ipana7oNa10ParaSaLahat #Halalan2022 #IbotoNa10Pilipinas",5/7/2022,lemuntivero,16,54
"Pink Sunday, Feb 15 2022 — Miting de Avance, May 7 2022

It was an honor. 💙🤍 Good luck to us next week! #Halalan2022",5/7/2022,fronseen,0,18
"LOOK: Participants at the Robredo-Pangilinan miting de avance in Makati sign their names & write messages on a pink banner laid out on the sidewalk of Ayala Ave. 

On it are painted the names “LENI - KIKO”. #Halalan2022 | via 
@anjo_bagaoisan",5/7/2022,ABSCBNNews,82,794
"LOOK: “Kakampinks” flash their placards with witty captions ahead of the Robredo-Pangilinan Miting de Avance at Makati. #Halalan2022 | via 
@KevAlabaso",5/7/2022,ABSCBNNews,45,431
"I was asked by my Brother (he will vote for Isko) why BBM?

Simplest answer:
   He is the only Presidential Candidate who never fails to hold and be proud of our flag 🇵🇭 in his every campaign. 
   It tells alot!
#Halalan2022
#BBMSaraUNITEAM",5/7/2022,KeepingStill,11,32
"I hope the 25-30% (31.5% for Ian😂) ay hindi magfafade. If we remain and consolidate our strength💪🏼, maybe we can pave the way for an ideology-based and competitive political party💙❤️💛

#ParaSaLahat🇵🇭
#Halalan2022",5/7/2022,IanIslander3,2,15
"""It is our duty to choose candidates that can foster scientific and technological progress while protecting our environment.""

Vote responsibly this 𝗠𝗮𝘆 𝟵.

Read the whole statement:
https://bit.ly/PSYSCElections2022

#BotongScienceClub
#FortheFilipinoYouth
#Halalan2022",5/7/2022,psysc_inc,27,49
"""The last man standing is a woman and the last man standing is a  farmer."" — Kiko Pangilinan

Bruh this gave me chills 😭 ipanalo na naten to, please lang. 

#MakatiIsPink
#PilipinasIsPink
#Halalan2022
#Ipana7oNa10ParaSaLahat",5/7/2022,Xylianaa,3,12
"LOOK: 23% of 1.6 million voters abroad have cast their ballots as of May 5!

STORY: https://bit.ly/3vRBC9T

#FlyingKetchup #Halalan2022",5/7/2022,FlyingKetchup,1,4
"WATCH: Hundreds of Ilonggo 'Kakampinks' swarm the Iloilo City bike lanes for the Kasanag Walk for Leni-Kiko on the last day of the campaign period today, May 7, 2022.

#Halalan2022 #PHVote #WeDecide | 
@rapplerdotcom
 
@MovePH",5/7/2022,au_rielle,4,17
"Confetti in the sky 🌌 
@lenirobredo
’s final presidential campaign rally is full of confetti, an allusion to confetti rallies that started on Ayala Avenue in Makati, Manila, and led to protests that ousted the late President Ferdinand Marcos in 1986 #PHVote #WeDecide #Halalan2022",5/7/2022,PichayadaCNA,4,15
"It’s the last day for campaigning in the Philippines, and four top presidential candidates are holding their biggest rallies today in Metro Manila. 

Here’s what you need to know before Monday’s election #Halalan2022:",5/7/2022,cheskareports,4,11
"I’ve used many of their videos in my own Comm and Media Studies syllabi. So this was especially cool to be part of TOP media analysis program 
@AJListeningPost
 for their short doc on the #Philippines elections #Halalan2022  #Eleksyon2022  #phvote 👉🏽",5/7/2022,jonathan_c_ong,1,5
"But the struggle doesn’t end here: Our next leaders must adopt the findings and stand for #ClimateJusticeNow.

On #Halalan2022, vote for climate justice. Vote for our future >> http://act.gp/love52",5/7/2022,gpph,2,6
"Latest Social Engagement Scores show VP Leni pulling away from BBM. #PHVote2022 #Halalan2022  #VotePH #OurVoteOurFuture #WeDecide #BilangPilipino2022
https://facebook.com/ADDSSentiment/posts/pfbid06o6CLzKHdUhuTmECEy7g5BRReMMM84PV72E1i5AbxJjJbguhHvMsnhfMhSnFv1GHl",5/7/2022,wilsonchua,281,1112
"Okay lang!

#hobbiesparktoyshop 
#bbm #leni #halalan2022",5/7/2022,HobbiesParkToys,0,3
"One of the many reason why I will never vote BBM because of his Trolls farm.

#Halalan2022",5/7/2022,codegeass_cc000,0,1
"If #BBM and #Sara win, the #INC can share credit for the victory. And it will also show #Catholic priests, #bishops and nuns do not have what it takes to beat back to life two dead horses. #Halalan2022 #BilangPilipino #Eleksyon2022 #Philippines",5/4/2022,JstToTheQuick,8,38
"The hottest items for sale after the elections will be red #BBM tshirts and airline tickets.
@bongbongmarcos
 #Halalan2022 #BilangPilipino2022 #Eleksyon2022",5/5/2022,JstToTheQuick,8,41
"Alam nyo, yung labandera namin BBM noon. Tapos you know who convinced her to switch to Leni? Her son. Na minor at hindi pa makaka boto. ♥ Loren Legarda can't relate

#LabanLeni2022 #LetLeniLead #Halalan2022",5/5/2022,youareyourname,1,14
"I was asked by my Brother (he will vote for Isko) why BBM?

Simplest answer:
   He is the only Presidential Candidate who never fails to hold and be proud of our flag 🇵🇭 in his every campaign. 
   It tells alot!
#Halalan2022
#BBMSaraUNITEAM",5/7/2022,KeepingStill,11,32
56% Survey rating means there is 1 BBM supporter for every 2 people you meet. Wow.   #Halalan2022  #VotePH,5/3/2022,engrJPAT,0,2
"I am sorry I wanna be respectful but you are an OFW are you sure about BBM? It is also confusing that you went from Leni → BBM #HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,brreadystuff,0,0
also what platforms does he have for OFW 😭 — ALSO it's ironic that you are a swiftie too (I am assuming you are given with the profile pic you have),5/6/2022,brreadystuff,0,0
"On of the difference between VP Leni and bbm: bbm is a politician while VP leni is a public servant. 

#Halalan2022 
#LabanLeni 
#LetLeniLead2022 
#LeniKiko2022",5/5/2022,real_ramoncruz,0,0
"BBM and Sara for the Philippines on May 9, 2022. #Halalan2022",5/11/2022,AmigoManila,2,18
"That is why I choose him as my President. Can't the others see how well mannered he is? #Halalan2022 has become a catalyst for some to hope for the brighter future after BBM declared his candidacy. BBM supporters on the other hand, knows the definition of RESPECT. #BBMSaraUNITEAM",5/2/2022,UrStellaAmare,0,5
"Good governance starts with our generation. Laban Millenials at Gen Z. 

#Halalan2022
#Ipana7oNa10ParaSaLahat 
#LeniKikoAllTheWay2022 
#BBM #ISKO #PING #PACQUIAO",5/6/2022,pinkarmy1004,2,3
#HALALAN2022 whyket always from website ni bbm ang sources :((,5/5/2022,BUNNlNAYEON,0,1
"#BBM is probably the most watched, monitored, scrutinized and hounded candidate ever to run for any position on earth..
BBM's campaign is not run on stolen funds. It is fueled by reality, & the practical minds who get it when they see it.
@bongbongmarcos
 #Halalan2022 #Philippines",5/4/2022,JstToTheQuick,21,39
"Whosoever wins on May 9; may it be KLDG, Leni, Isko, or, I hate to say it, BBM, shall be treated as a public servant of the Filipino people.

Politics is a dangerous game, most certainly in the hands of politicians like the Marcoses. 

#Halalan2022",5/4/2022,itsmedizonnn,0,6
"Haan nak Maka - LENI
Haan nak Maka -BBM
MAKA…AS ASAWA AKON, de joke lang. 🤪😂

Just a gentle reminder: Don’t ruin your friendship over politics. 

❤️💙💗🤍💚

Let’s continue to pray for our Nation. 
Let’s pray for our Government.

#Halalan2022 #VoteWisely",5/7/2022,chriiistellejoy,0,0
"UNITEAM, we  & sir BBM are always attacked unprovoked. But let us remind ourselves that they're just one click away. REPORT & BLOCK.

Let's continue to pray for a peaceful & honest #Halalan2022 Mahalin natin ang Pilipinas. Mabuhay tayong lahat! Sama-sama tayong babangon muli!",5/2/2022,MyMissRight_twt,0,0
"I never imagined I will get to see and experience MARCOS leadership in my lifetime. Great times ahead, folks. PRRD had set a very high standard of leadership and public service, I hope that BBM match that or even surpass it. #BBMSaraUNITEAM #BBMIsMyPresident2022 #Halalan2022",5/5/2022,RyanRZambrano,7,27
"actually, bbm visiting and helping tacloban after nung typhoon yolanda, was actually on the news. search up online articles regarding the help tacloban received from bbm and news articles will pop up.
#HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,DLNDN10,0,0
"Ph peso purchasing power will become weaker next week if Pinoy electorates vote UNWISELY. Some foreign employers warned of pulling out their BPO firms if bbm win! 😢

May God guide us & grant us this #Halalan2022 TRIUMPH for the Phils. & the Fils. come May 09. 🙏🙏🙏",5/4/2022,SnowflakesRacer,2,1
"Yet the Pulse Asia survey says that there are more educated voters voting for BBM but look, it doesnt seem like that on the ground. #halalan2022 #PulseAsia",5/4/2022,aristosocrato89,0,0
I'd really love to hear from BBM and Sara but they did not show up #Halalan2022,5/5/2022,sharashiii,0,2
"#HALALAN2022

and smni covers the interview of bbm with the people, hindi pa ba bias yun mga beh?

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,gabbricx,0,0
"nakakakilabot how bbm supporters and apologists treat these data as mere numbers, statistics. please remember that these numbers represent LIVES. some were mothers, fathers, children. human lives are not mere numbers. #NeverAgain #Halalan2022",5/5/2022,lvrtzu,0,1
"let someone speak their minds. ang ironic lang din na some kakampinks are shutting off bbm supporters tapos ipinaglalaban ang freedom of expression hAy #HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,_vvanillaaa,0,0
"Same with the other candidates (≧▽≦)...Ganda ng Mindset niya....Same with me, Bbm is my bet because I only think he's the most presidentiable of all candidates...but it doesnt mean I'm gonna dedicate my life defending him lol... 
#Eleksyon2022
#Halalan2022 
#Mythoughts",5/5/2022,Nica_QuQ,0,0
"LENI and BBM's major accomplishments and statement of assets, liabilities, and net worth.

Hindi ka ba mapapaisip kung bakit ganun kalaki ang net worth no BBM? look at the major accomplishments din. This is from an unbiased website. 

#Halalan2022",5/3/2022,namgijinist,0,0
I will be fine with a BBM presidency as long as for six years all taxes will be removed. Game?😂 #BOBOtoKA #Halalan2022 #LeniForPresident2022 #LeniKikoAllTheWay2022,5/1/2022,CRISis73,0,0
what is this girl talking about? bbm had all the time in the world to prepare for shit so you argumenting that ppl his reputation was ruined because of the 2016 debates is so funny. public servant siya so dapat alam niya of all ppl. he had it coming so stfu #HALALAN2022,5/5/2022,sailorjaemjen,0,2
"invite more bbm supporter so that we will have more discussions

#HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,fcvisteb,0,3
"The Last piece of the puzzle. INC endorses #7 BBM & #4 inday Sara. 

#Halalan2022 
#BBMIsMyPresident2022 
#BBMSARA2022",5/3/2022,bikolcwchrncls,0,2
"may platform nga si bbm, i've seen them. however, debates are his chance to tell those platforms to us, yung manggagaling sa bibig niya mismo  #HALALAN2022",5/5/2022,singyularities,1,6
"Keep our conversations decent and respectful. Our words are powerful, it can build or destroy a person. 🌸

#Halalan2022 #philippines #eleksyon2022 #LetLeniLead #bbm #isko #mannypacquiao",5/7/2022,just_caloi,0,0
"A lot of my friends said that their 1st choice is Ping but will not be voting for him.

Some of them will vote for BBM to lessen Leni’s chance of winning and some will vote for Leni coz she have a better chance of defeating BBM.

#Halalan2022 
#WastedVotes
#TrueStory",5/5/2022,ezratosphere,0,0
"Political analyst Edmund Tayao says the only reason BBM's chances of winning will change if a ""black swan"" happens.

Read more: https://m.facebook.com/story.php?story_fbid=144376038107469&id=100076052214711

#PartidoFederalngPilipinas
#UniTeamBBMSara
#Halalan2022",5/4/2022,PartidoFederalP,1,4
"""BBM survey numbers is a validationthat the country has had enough of cheap politicking (by Mrs. Robredo), no matter you sugarcoat it with motherhood statements.""
""Unless God has other plans, it should be all over but the counting.""
Umagang Kayganda
#BBMSaraUNITEAM 
#Halalan2022",5/2/2022,nueve_mar_esod,0,0
"If you encountered a FAKE News, manaliksik ka sa mga tamang avenue. Hindi lang sa tiktok university. If student ka ngayon, read books, google it. Don’t go to sliced videos. God created you a thinking being for a reason. Don’t waste it. #Halalan2022 #LeniForPresident2022 #BBM",5/2/2022,MasterBien,0,0
"I don't know if I'll be able to convince BBM supporters with this. I've been listening to twt spaces that's been floating around and war always comes up. Here's some food for thought.

#Halalan2022 
#IpanaloNa10ToParaSaLahat
#BBMSaraUNITEAM",5/6/2022,kachicactus,0,3
"this is and will be BBM's (hell, any Marcos) last chance of ever winning an election on a national level.

he knows this. that's why he ran for the highest spot when he could. that's why he played all his cards and called in his favors.

#Halalan2022",5/3/2022,r_czarls,0,2
"Currently reading mindf*ck.
The story of how (CA) Cambridge Analytica started the use of Psychological weapon with the data from FB to turn people with ""dark triad"" traits to act on CA's will.
Dika immune if you do not know this tacticts
#Halalan2022
#ILOILOisPink
#LeniKiko
#BBM",5/3/2022,aristosocrato89,0,4
"🧵on 🇹🇼#Halalan2022| I’m sorry for failing y’all, #Kakampinks back home. Marcos has won & will win in Taiwan by a massive margin. We don’t have enough resources (time, money, people) to combat BBM’s huge machinery in factories, migrant orgs, & communities (confirmed by insiders)",5/2/2022,ginollopez,3,6
"LOOK: Another placard prepared by a supporter here at Isko’s miting de avance reads: “BBM - Buong Bansa Moreno.” #Halalan2022 
@ABSCBNNews",5/7/2022,biancadava,4,19
"hello po, i just want to ask po sana BBM supporters, on what made them choose their candidate? Kasi for example, my parent's argument was because she's an ILOCANO, so bakit pa raw boboto ng iba. Thank you, po!

#HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,islaynessariego,0,1
"Just talked to my roommate who works in the BPO Industry as HR. The rumors are true, there are talks about investors pulling out if BBM becomes president. There are thousands of them working there. It's not only them that will suffer but the whole economy. 📉

#Halalan2022",5/4/2022,pinkarmy1004,1,3
"i ask my relatives na bbm and they said why the dont like leni bcs leni is a puppet daw ng mga dilawan. #HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,jjkkth045,0,0
"please let me speak i have something to share base on my interviews sa mga kakilala kong bbm supporters #HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,jjkkth045,0,0
"If you're still undecided or want a checklist of who to vote for this May 9, I hope this helps you 
#BBM #LeniRobredo
#PingLacson #IskoMoreno #Halalan2022 #Elections2022",5/7/2022,francorulloda,0,0
"In the 1965, 1969 & 1981 Presidential Elections the INC endorsed then the late Former President Ferdinand Marcos & it was recorded as the highest pres result in terms of # of voters.
So it doesn't come as a shock if they are now endorsing #BBM 

#Fact 
#Halalan2022",5/3/2022,Curls_yammy,0,2
smni is biased and yung may ari has openly endorsed bbm. even a few of the panels have openly endorsed him din. i watched the debate including the senatorials kasi i genuinely want to know other candidates talaga as a first time voter #HALALAN2022,5/5/2022,singyularities,0,1
"It looks like the fight will be between ""evil"" vs. ""more evil."" 

The losers are the ""more evil"" ones as deemed by the majority of voters. 

Who will win?

#Eleksyon2022 #eleksiyon2022 #Halalan2022 #Halalan #BBM #LeniRobredo",5/7/2022,justdontassume,2,2
"Google Trends suggests a win for 
@LeniRobredo
, whereas Pulse Asia expects a BBM win. This #Halalan2022 is a test for Google Trends, but it's a life-and-death for Pulse Asia's for-profit business.

Leni's victory will spell doom for traditional politicians and traditional surveys.",5/2/2022,BonnJuego,0,0
"An Isko Moreno supporter here at the miting de avance in Moriones, Tondo brought two placards to show his support for the presidential candidate.

One reads “LENI - Lahat Eto Na Isko” while the other, “BBM - Buong Bansa Moreno.” #Halalan2022",5/7/2022,biancadava,7,19
"“If you want to be proud of yourself, then do things in which you can take pride.” – Karen Horney 

Proud supporter of BBM - SARA here ♥️✌🏻💚👊🏻

#bbmforpresident2022 
#saradutertevicepresident2022 
#halalan2022 
#uniteambbmsara2022",5/7/2022,itsmemitziel,0,4
A PNoy supporter asking what his admin's inefficiencies are then is like a BBM supporter asking what his father's crimes were during the Martial Law. 🙄 #Halalan2022 #Eleksyon2022,5/6/2022,choyzee,0,1
"genuine question, if the government wasnt able to offer help during the yolanda. why would you vote for bbm who was a senator that time? 

#HALALAN2022

https://twitter.com/i/spaces/1YqGopgEbOXJv",5/5/2022,loeygzb,1,5
"Presidential and vice-presidential inspired NFT! 🍄
VOTE WISELY! 
https://opensea.io/collection/fungusverse

Minted on Polygon. 1/1 non-generative, hand-drawn art! 💓

#NFT #NFTMarketPH #LeniKiko #BBMSaraUNITEAM #Leni #BBM #IskoMoreno #pinglacson #pixel #Halalan2022 #Uniteam #KulayRosasAngBukas",5/7/2022,Jijisaur,1,1
Philippines should actually postpone the elections for 1 year; BBM supporters are getting the best treatment they will receive before they are dumped after they cast their votes #Kawawa #Used #ASEAN #Halalan2022 #BatangasIsPink,5/1/2022,marcboni,0,0
"Another “what you see is what you get” candidate. Just like BBM.

#Halalan2022",5/4/2022,mhyusingco,0,2
"short kakampink story 🌸🌾

#KulayRosasAngBukas #LeniRobredo #Halalan2022 

 (1)
 I was buying hopia from a vendor samin, then my neighbor was talking about politics tas i heard them saying “feel ko naman mananalo si bBm”",5/6/2022,instachuu_,0,3
"More than BBM winning, its his rude, boisterous, fake news-peddling supporters who will dominate the society. And just the thought of it makes me cringe to death. #Halalan2022 #LeniRobredo2022 #LeniKiko2022",5/6/2022,ManalangAris,1,5
"Top story:  @jhonzalon: 'Just remember that Miriam Santiago trusted BBM's leadership and integrity.

Don't tell me that you have a better judgement of character than THE GREAT MIRIAM SANTIAGO. #Halalan2022 ' , see more https://tweetedtimes.com/v/590?s=tnp",5/4/2022,matty_adj,0,0
