Method,Tweet,Username,Dates
Manual,"Replying to @cnnphilippines
Kontra Daya encourages the public to report and inform them of any incidents of vote buying, machine errors, harassments, etc. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya: There is an intent to spread false news. There is an intent to spread lies and untruths. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya on the proliferation of disinformation in this year's elex: Groups would benefit from disinformation and also are disadvantaged. Disinformation is used primarily to entice voters by spreading lies and untruths. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya: This is the election cycle when we experienced the most proliferation of disinformation. That would somehow influence the outcome of the elections. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @meltlopez
What will happen if the VCM won't be repaired by the time voting opens at 6am?
Laudiangco: Ihahabol na lang po lahat ito, magba-batch feeding tayo (ng balota) kapag dumating na ang VCM. Meron po tayong watchers, 'wag po kayong matakot. #TheFilipinoVotes🇵🇭 | @meltlopez",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @meltlopez
Comelec urges Filipinos to head to their voting precincts early. Voting will be 6am-7pm.
Comelec says the poll body, Armed Forces, Philippine National Police ensure a peaceful and orderly polls: Huwag kayo matakot, we will ensure you will be able to vote. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya convenor Malou Turalde on the 2022 national polls: For me to say to be successful, it has to be clean and honest, and the outcomes are credible. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @CarolynBonquin
The triage in Guadalupe Elementary School (one of the biggest polling places in Cebu City) is now open. Health workers are checking each voter’s temperature. #TheFilipinoVotes🇵🇭 | @CarolynBonquin
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"There’s already a queue of early voters outside Guadalupe Elementary School in Cebu City.
A voter told CNN Philippines, he’d rather vote early so he’ll be back home early. A total of 32,934 residents are expected to cast their votes here. #TheFilipinoVotes🇵🇭 | @CarolynBonquin",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
PNP Directorate for Operations director PMGen Valeriano De Leon says more than 150,000 cops were deployed for this year's elections. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,Heads up! All PWDs may avail of the free rides between 5am until 8:30pm in Antipolo Station and 9pm. in Recto Station. #TheFilipinoVotes🇵🇭,@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @pnbarcelonlive
Voters and some poll watchers start lining up outside Magat Salamat Elem. School in Manila. The school also contains precincts assigned to the nearby Manuel L. Quezon High School, which is under construction. #TheFilipinoVotes🇵🇭 | @pnbarcelonlive",@cnnphilippines,5/9/2022
Manual,"Good morning from Camarines Sur! Presidential candidate Vice President Leni Robredo will cast her vote this morning at Carangcang Elementary School in Magarao, Camarines Sur. #TheFilipinoVotes🇵🇭 | @anjocalimario
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Good morning from the Santa Cruz Central Elementary School in Laguna! Final preparations are underway before voting begins at 6am. Laguna is the 4th most vote-rich province with over 2M eligible voters. #TheFilipinoVotes🇵🇭 | @PaigeJavier
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @meltlopez
Comelec says 106,125 out of 106,174 precincts completed final test runs. Some 49 precincts yet to submit completion reports. #TheFilipinoVotes🇵🇭 | @meltlopez",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @meltlopez
Comelec still waiting for 47 reports in BARMM, mainly in Cotabato City, as some teachers refuse to serve in the polls amid confusion and security concerns. Laudiangco says PNP personnel are trained to act as electoral board members to man the polls | @meltlopez",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @meltlopez
Laudiangco reports there is a town in Oriental Mindoro and in Northern Samar which did not finish the final VCM test yesterday due to lack of test ballots. Teachers were allowed to use 3 actual ballots to check if the VCM is working. #TheFilipinoVotes🇵🇭 | @meltlopez",@cnnphilippines,5/9/2022
Manual,"THREAD: Comelec acting spokesman Atty. John Rex Laudiangco holds the first press briefing for the day, 1 hour before voting centers open. “It’s all systems go,” he says. #TheFilipinoVotes🇵🇭 | @meltlopez
Watch here: https://bit.ly/39LIs8t",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @TristanNodalo
Poll watchers at Commonwealth Elementary School now being allowed to enter. #TheFilipinoVotes🇵🇭 | @TristanNodalo",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @TristanNodalo
First time voter ‘Francis’ is among those who lined up early at the Commonwealth Elementary School. Francis: Mahalaga po ang eleksyon na ito kasi maraming fake news ngayon. #TheFilipinoVotes🇵🇭 | @TristanNodalo",@cnnphilippines,5/9/2022
Manual,"LOOK: Voters line up early at Commonwealth Elementary School in Quezon City before the poll opens at 6am. The school is among the biggest voting centers in the city. #TheFilipinoVotes🇵🇭 | @TristanNodalo
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @crissydimatulac
There are 10 voters allowed per classroom. The elections will be from 6am to 7pm. #TheFilipinoVotes🇵🇭 | @crissydimatulac
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Teachers in Cainta Elementary School are making last minute preparations for today’s elections. Few hours before voting starts, teachers standing as board of election inspectors are placing vote counting machines in classrooms. #TheFilipinoVotes🇵🇭 | @crissydimatulac",@cnnphilippines,5/9/2022
Manual,"LOOK: Electoral board members now preparing election paraphernalia at the Magat Salamat Elementary School in Tondo, Manila. #TheFilipinoVotes🇵🇭 | @pnbarcelonlive
Live blog: https://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Watch our live, in-depth coverage of election day with @RicoHizon
, @riatrillo
, @paoloabrera
. #TheFilipinoVotes🇵🇭 📱 YouTube https://bit.ly/3kTMkX6 💻 Facebook https://bit.ly/3kRMK0j 📺 Free TV ch. 9, Cignal ch. 10, Sky Cable ch. 14",@cnnphilippines,5/9/2022
Manual,"THREAD: It's decision day in the Philippines — a deeply divided nation that stands at the crossroads.
More than 65 million voters 🗳️ are expected to deliver their verdict today, with hopes of a better tomorrow.
This is a CNN Philippines special coverage. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Dahil sa siksikan, hindi lahat ng botante ay nakukuhanan ng temperatura sa Camarin D Elementary School sa Caloocan City. #Eleksyon2022 | via @cedric_castillo",@gmanews,5/9/2022
Manual,Sight-impaired brothers vote in Alabang Elementary School in Muntinlupa. They brought a list via braille and the votes were dictated to their parents who shaded the ballots. #Eleksyon2022 | via @Joseph_Morong,@gmanews,5/9/2022
Manual,WATCH: Persons deprived of liberty in Quezon City Jail Female Dormitory cast their vote on election day. #Eleksyon2022 | @jovilandxrita,@gmanews,5/9/2022
Manual,"Former senator and presidential candidate Ferdinand ""Bongbong"" Marcos Jr. cast his vote on Monday morning for #Eleksyon2022.",@gmanews,5/9/2022
Manual,"One-way traffic, ipinatupad sa Rizal High School sa Pasig dahil sa mga botanteng nalilito sa entrance at exit. #Eleksyon2022 | via @MMakalalad",@gmanews,5/9/2022
Manual,"Replying to @gmanews
Pagboto ni Senator @iampinglacson
sa Bayan Luma I Elementary School. #Eleksyon2022 | via @_iancruz",@gmanews,5/9/2022
Manual,"Presidential candidate @bongbongmarcos
now casting his vote in Mariano Marcos Memorial Elementary School in Batac, Ilocos Norte. | via @sandraguinaldo
Watch the #Eleksyon2022 livestream: https://youtu.be/17EfsZZA4pw",@gmanews,5/9/2022
Manual,"Senator @iampinglacson
became the first presidential candidate to cast his vote in #Eleksyon2022 on Monday morning.",@gmanews,5/9/2022
Manual,"These women lined up at 5:30 a.m. to vote at Gen. Tiburcio de Leon Elementary School, the biggest polling place in Valenzuela with 33 polling precincts. #Eleksyon2022 | via @raffytima",@gmanews,5/9/2022
Manual,Blasts rock Maguindanao hours before May 9 polls; 6 hurt #Eleksyon2022,@gmanews,5/9/2022
Manual,".
@COMELEC
: 99.95% of precincts done with final VCM testing, sealing #Eleksyon2022",@gmanews,5/9/2022
Manual,VCM jams at a precinct in Alabang Elementary School. It’s the first ballot to be fed. #Eleksyon2022,@gmanews,5/9/2022
Manual,Voters line up to enter Lerma Elementary School in Caloocan Cityy #Eleksyon2022. | @amitalegaspi,@gmanews,5/9/2022
Manual,"My Kodigo | Eleksyon 2022 | GMA News Online #Eleksyon2022 #DapatTotoo
https://gmanetwork.com/news/eleksyon2022/mykodigo/",@gmanews,5/9/2022
Manual,Classrooms at the Alabang Elementary School fill to the brim as elections are conducted today. #Eleksyon2022 | via @Joseph_Morong,@gmanews,5/9/2022
Manual,"Presidential candidate na si Senador @iampinglacson
, dumating na sa Bayan Luma 1 Elementary School para bumoto ngayong #Eleksyon2022. | via @_iancruz",@gmanews,5/9/2022
Manual,"Isa sa pinakamalaking voting center sa Kalibo, Aklan, pinipilahan na; pila ng mga botante, abot hanggang kalsada. #Eleksyon2022 | @AllenAscano
, Super Radyo Kalibo @dzbb",@gmanews,5/9/2022
Manual,PANOORIN: Sitwasyon sa entrance ng Camarin D Elementary School sa Caloocan City. Siksikan ang mga botante dahil sa makipot na gate at mapa ng voting precincts. #Eleksyon2022 | via @cedric_castillo,@gmanews,5/9/2022
Manual,LOOK: Long lines have started at the Sauyo Elementary School in Quezon City for Monday’s #Eleksyon2022. | @chekaviernes,@gmanews,5/9/2022
Manual,"LOOK: Long line of voters at San Juan Elementary School in Taytay, Rizal. #Eleksyon2022",@gmanews,5/9/2022
Manual,"Kahit na nasa ilalim ng Comelec-controlled area, pumila pa rin ang mga botante sa Malabang, Lanao del Sur ngayong umaga ng #Eleksyon2022. 📸: Comelec Comm. George Garcia | via @nimfaravelo
@dzbb",@gmanews,5/9/2022
Manual,"Buong puwersa ang GMA News and Public Affairs sa paghahatid ng malalaking balita ngayong #Eleksyon2022! #DapatTotoo
Para sa mga balita kaugnay sa #Eleksyon2022, bisitahin ang http://eleksyon2022.ph website. Maaari din abangan dito ang resulta ng botohan mamayang gabi.",@gmanews,5/9/2022
Manual,"Comelec Palawan, all systems go na para sa isasagawang #Eleksyon2022. | via Junfred Calamba, Super Radyo Palawan @dzbb",@gmanews,5/9/2022
Manual,"LOOK: Voting center na gagamitin sa pagboto ni Pangulong Rodrigo Duterte, inihanda na; Davao City, nakaranas ng pag-ulan sa buong magdamag. | via Rodel Natad, Super Radyo Davao @dzbb",@gmanews,5/9/2022
Manual,"Isolation polling precinct sa Malanday Elementary School sa Marikina City, handa na rin para sa mga makikitaan ng sintomas ng COVID-19. | via @glenjuego
@dzbb
#Eleksyon2022",@gmanews,5/9/2022
Manual,Early bird voters troop to polling places even before voting hours start #Eleksyon2022,@gmanews,5/9/2022
Manual,"Around 65.7 million registered Filipino voters are expected to troop to polling precincts nationwide on Monday, May 9, as the Philippines conducts its first ever national and local elections during the COVID-19 pandemic. #Eleksyon2022",@gmanews,5/9/2022
Manual,"Handa ka na bang bomoto ngayong araw? Narito ang mga hakbang sa pagboto ngayong #Eleksyon2022. #DapatTotoo
Handa na ba kayong bumoto at may kodigo na ba kayo para sa Eleksyon sa Lunes? Bisitahin ang website na ito para makagawa ng listahan: https://gmanetwork.com/news/eleksyon2022/mykodigo/",@gmanews,5/9/2022
Manual,"Simula na ng botohan dito sa Bayan Luma 1 Elementary School, Imus, Cavite. May pila na rin ng mga maagang dumating para bumoto ngayong #Eleksyon2022 | via @_iancruz",@gmanews,5/9/2022
Manual,"SIMULA NA ANG BOTOHAN PARA SA #ELEKSYON2022! Tumutok sa GMA News and Public Affairs sa TV, online at radyo mula May 9 hanggang May 10 sa GMA Network channel 7 at GTV channel 11 o panoorin ang aming livestream sa GMA News YouTube channel.",@gmanews,5/9/2022
Manual,"A person with disability is offered a replacement mask after he was spotted inside a Pasig City polling center wearing one printed with faces of candidates, which is prohibited under @COMELEC
guidelines. #Eleksyon2022 | via @jun_veneracion",@gmanews,5/9/2022
Manual,Inihahanda na ang vote-counting machine sa isang clustered precinct sa Bayan Luma 1 Elementary School para sa pagsisimila ng botohan pagpatak ng alas sais ng umaga. #Eleksyon2022 | via @_iancruz,@gmanews,5/9/2022
Manual,Pinapapasok na ang mga botanteng senior citizen sa Mariano Marcos Memorial Elementary School. Pinapasok na rin ang mga watcher. #Eleksyon2022 | via @sandraguinaldo,@gmanews,5/9/2022
Manual,Senior citizens await opening of polls at the Alabang Elementary School. #Eleksyon2022 | via @Joseph_Morong,@gmanews,5/9/2022
Manual,"Comelec Acting Spokesperson Rex Laudiangco reports that 49 VCMs have not yet undergone final testing and sealing, which should be conducted before voting can take place. #Eleksyon2022 | via @tinapperez",@gmanews,5/9/2022
Manual,"On Monday, May 9, 2022, the Philippines will hold its national and local elections to elect a new set of public officials.
Here are some voting reminders. #Eleksyon2022",@gmanews,5/9/2022
Manual,"Pila ng mga botante sa Rizal High School sa Pasig, inaayos na para sa pagbubukas ng polling center ng alas-6:00 ng umaga. #Eleksyon2022 | via @MMakalalad
@dzbb",@gmanews,5/9/2022
Manual,Mahaba na ang pila ng mga botante sa labas ng President Corazon Aquino Elementary School. #Eleksyon2022 | via @makipulido,@gmanews,5/9/2022
Manual,Marilou Bacani and her husband Geoffrey among the early birds waiting to cast their vote at the Fort Bonifacio Elementary School in Makati. #Eleksyon2022 | via @chinogaston,@gmanews,5/9/2022
Manual,"TINGNAN: Nagtipon-tipon na sa labas ng Potrero Elementary School sa Malabon City ang mga magsisilbing poll watcher sa #Eleksyon2022 ngayong araw. | via @luisitosantos03
@dzbb",@gmanews,5/9/2022
Manual,LOOK: Watchers await the opening of gates at the Alabang Elementary School. #Eleksyon2022 | via @Joseph_Morong,@gmanews,5/9/2022
Manual,"Mga magsisilbing poll watcher sa #Eleksyon2022, naghihintay na sa labas ng Potrero Elementary School sa Malabon City.| via @luisitosantos03
@dzbb",@gmanews,5/9/2022
Manual,Teachers serving as electoral board have started pulling out VCMs and ballots to set up the precincts in President Corazon Aquino Elementary School in Quezon City. #Eleksyon2022 | via @makipulido,@gmanews,5/9/2022
Manual,"WATCH: A bit of delay in the releasing of vote counting machines at Rafael Palma Elementary School in Manila. Some members of the Electoral Board said the DESO assigned to them, those who are authorized to distribute the VCM, arrived late. #Eleksyon2022 | via @victoriatulad",@gmanews,5/9/2022
Manual,"TINGNAN: Mga guro na magsisilbing electoral board sa #Eleksyon2022, maagang nagtungo sa Potrero Elementary School sa Malabon City. | via @luisitosantos03
@dzbb",@gmanews,5/9/2022
Manual,Ang boto mo ay mahalaga. Piliin ang kandidatong totoo ngayong #Eleksyon2022. #DapatTotoo,@gmanews,5/9/2022
Manual,"1 ORAS NA LANG BAGO ANG BOTOHAN PARA SA #ELEKSYON2022! ‘Wag palampasin ang GMA News and Public Affairs marathon #Eleksyon2022 coverage sa TV, online at radyo mula May 9 hanggang ng May 10 sa GMA Network at GTV o panoorin ang aming livestream sa GMA News YouTube channel.",@gmanews,5/9/2022
Manual,Nagsimula na ang pamamahagi ng mga vote counting machine (VCM) at election paraphernalia sa mga Board of Electoral Inspector sa Camarin D Elementary School sa Caloocan City. #Eleksyon2022 | via Danielle Orines/GMA News,@gmanews,5/9/2022
Manual,Voters queue up outside Nagpayong Elementary School in Pasig City as they wait for polling precincts to open at 6am. #Eleksyon2022 | via @jun_veneracion,@gmanews,5/9/2022
Manual,The Comelec en banc will convene as the National Board of Canvassers at the PICC at 3pm today. They will canvass results for the senatorial and partylist elections. #Eleksyon2022 | via @tinapperez,@gmanews,5/9/2022
